estimulo_num,estimulo_label,stim_start_ms,stim_end_ms,tiempo_reaccion_ms,num_fijaciones,duracion_primera_fijacion_ms,duracion_promedio_fijaciones_ms,estado,archivo
2,P2 (Sup-Cen),2500.0,4500.0,33.333000000000084,1,1899.9999999999995,1899.9999999999995,reacción_rápida,Victor3_intento_1_data
3,P3 (Sup-Der),4500.0,6500.0,100.0,1,1800.0,1800.0,reacción_rápida,Victor3_intento_1_data
4,P4 (Med-Izq),6500.0,8500.0,100.0,1,1833.3330000000003,1833.3330000000003,reacción_rápida,Victor3_intento_1_data
5,P5 (Med-Cen),8500.0,10500.0,133.33300000000054,1,1866.6669999999997,1866.6669999999997,reacción_rápida,Victor3_intento_1_data
6,P6 (Med-Der),10500.0,12500.0,166.66699999999946,1,1866.666000000001,1866.666000000001,reacción_normal,Victor3_intento_1_data
7,P7 (Inf-Izq),12500.0,14500.0,233.33300000000054,2,1800.0,1833.3330000000005,reacción_normal,Victor3_intento_1_data
8,P8 (Inf-Cen),14500.0,16500.0,233.33300000000054,2,1899.9999999999984,1849.999999999999,reacción_normal,Victor3_intento_1_data
9,P9 (Inf-Der),16500.0,18500.0,300.0,2,1733.3329999999987,1816.6664999999985,reacción_normal,Victor3_intento_1_data
1,P1 (Sup-Izq),500.0,2500.0,0.0,1,1833.333,1833.333,reacción_rápida,Victor3_intento_4_data
2,P2 (Sup-Cen),2500.0,4500.0,233.33300000000008,1,1633.3340000000003,1633.3340000000003,reacción_normal,Victor3_intento_4_data
3,P3 (Sup-Der),4500.0,6500.0,66.66700000000037,1,1800.0,1800.0,reacción_rápida,Victor3_intento_4_data
4,P4 (Med-Izq),6500.0,8500.0,66.66700000000037,1,1866.666,1866.666,reacción_rápida,Victor3_intento_4_data
5,P5 (Med-Cen),8500.0,10500.0,133.33300000000054,1,1700.0,1700.0,reacción_rápida,Victor3_intento_4_data
6,P6 (Med-Der),10500.0,12500.0,166.66699999999946,1,1800.0,1800.0,reacción_normal,Victor3_intento_4_data
7,P7 (Inf-Izq),12500.0,14500.0,166.66699999999946,1,1866.666000000001,1866.666000000001,reacción_normal,Victor3_intento_4_data
8,P8 (Inf-Cen),14500.0,16500.0,200.0,2,1833.3329999999987,1849.9995,reacción_normal,Victor3_intento_4_data
9,P9 (Inf-Der),16500.0,18500.0,200.0,2,1833.3329999999987,1833.3329999999987,reacción_normal,Victor3_intento_4_data
1,P1 (Sup-Izq),500.0,2500.0,0.0,1,1800.0,1800.0,reacción_rápida,Victor3_intento_3_data
2,P2 (Sup-Cen),2500.0,4500.0,0.0,2,400.0,816.6665,reacción_rápida,Victor3_intento_3_data
3,P3 (Sup-Der),4500.0,6500.0,0.0,1,1866.6670000000004,1866.6670000000004,reacción_rápida,Victor3_intento_3_data
4,P4 (Med-Izq),6500.0,8500.0,66.66700000000037,1,1833.333,1833.333,reacción_rápida,Victor3_intento_3_data
5,P5 (Med-Cen),8500.0,10500.0,100.0,1,1566.6669999999997,1566.6669999999997,reacción_rápida,Victor3_intento_3_data
6,P6 (Med-Der),10500.0,12500.0,100.0,2,1433.3330000000003,1749.9995000000008,reacción_rápida,Victor3_intento_3_data
7,P7 (Inf-Izq),12500.0,14500.0,-33.33300000000054,1,2066.666000000001,2066.666000000001,anticipación_leve,Victor3_intento_3_data
8,P8 (Inf-Cen),14500.0,16500.0,233.33300000000054,2,1866.6669999999997,1966.6665000000003,reacción_normal,Victor3_intento_3_data
9,P9 (Inf-Der),16500.0,18500.0,300.0,2,1700.0,1783.3334999999997,reacción_normal,Victor3_intento_3_data
