participante,video,ms_vmax,std_saccade_amplitude,std_saccade_peak_velocity,ms_c,mean_fixation_duration,mean_saccade_duration,mean_saccade_q_ratio
Josuep,Josuep_9_puntos_intento_8,365.64427690068027,2.4840879564028344,51.28676857802849,8.085701817071815,0.023410672680412376,0.024571532133676088,1.1472229585546276
Josuep,Josuep_9_puntos_intento_9,432.6753879318735,2.6859076162103617,50.33910960610409,10.92476036385718,0.01921244868735084,0.02527840334128878,1.1561701709719396
Karolain,Karolain_9_puntos_intento_10,432.103412143271,4.027558958233667,69.54129691569361,8.81585713028141,0.04471331182795691,0.022132566308243794,1.0966009904670015
Karolain,Karolain_9_puntos_intento_1,497.68945001027686,4.392323409123336,76.97611824570119,10.614780650509855,0.03612867405063289,0.022936526984126997,1.1229592629504814
Karolain,Karolain_9_puntos_intento_2,471.0847544983846,4.266242595751449,71.40022189945302,9.304500295799144,0.0433679411764706,0.021136096885813135,1.0806067050174384
Karolain,Karolain_9_puntos_intento_3,441.070150225198,4.1471192272294815,67.35253781888613,7.448835421824654,0.042711762376237646,0.018777421052631547,1.070835356454407
Karolain,Karolain_9_puntos_intento_4,480.1968402581756,4.331336382773821,74.17187714189546,9.529891158402465,0.044869540925266925,0.021470911032028462,1.116340540800766
Karolain,Karolain_9_puntos_intento_5,479.4165791933419,4.014345726394014,68.20077083999236,9.710359048832691,0.03863393670886073,0.020358680379746866,1.0807877108487705
Karolain,Karolain_9_puntos_intento_6,366.3173075549229,3.823949975853989,59.94827119244176,6.9060270257031355,0.035131668693009155,0.02155526139817625,1.1034188199333295
Karolain,Karolain_9_puntos_intento_7,469.68825792718604,3.9036707257244125,67.7599212089973,9.938802063205413,0.039480868852459,0.021639350819672144,1.094220592055634
Karolain,Karolain_9_puntos_intento_8,496.24847132363936,3.772330951982795,66.64918599773176,9.76123740310595,0.03649952279635254,0.020126233333333368,1.0806737710064633
Karolain,Karolain_9_puntos_intento_9,405.4237819164799,3.4043790155653038,61.83448203179476,7.125625843242779,0.036177044510385725,0.019221238095238118,1.0911652904064968
Leo,Leo_9_puntos_intento_10,544.5069189056076,3.0320490172393915,66.54400626570916,12.104654854398767,0.02374691228070176,0.022974057644110264,1.148270106700927
Leo,Leo_9_puntos_intento_1,1364.8305610766035,3.508489451510308,97.30964069802133,36.299820805423856,0.02315052295918371,0.024321447837150092,1.152047070005656
