Video,Frame,Timestamp_s,Face_Detected,ROI_Valid,Iris_Center_X_Original,Iris_Center_Y_Original,Iris_Left_X_Original,Iris_Left_Y_Original,Iris_Right_X_Original,Iris_Right_Y_Original,Iris_Center_X_ROI,Iris_Center_Y_ROI,Iris_Left_X_ROI,Iris_Left_Y_ROI,Iris_Right_X_ROI,Iris_Right_Y_ROI,Iris_Diameter_px_ROI,Video_FPS
Data_Victor_1.avi,173,5.7667,True,True,620,242,629,243,612,242,219,126,270,132,174,126,96,30.0
Data_Victor_1.avi,174,5.8,True,True,620,242,629,243,612,242,217,126,268,132,171,126,97,30.0
Data_Victor_1.avi,175,5.8333,True,True,620,242,629,243,612,241,217,126,268,132,171,120,97,30.0
Data_Victor_1.avi,176,5.8667,True,True,621,242,630,243,612,241,222,126,274,132,171,120,103,30.0
Data_Victor_1.avi,177,5.9,True,True,621,242,630,243,612,241,222,126,274,132,171,120,103,30.0
Data_Victor_1.avi,178,5.9333,True,True,621,242,630,243,612,241,219,126,270,132,169,120,101,30.0
Data_Victor_1.avi,179,5.9667,True,True,621,242,630,243,612,241,219,126,270,132,169,120,101,30.0
Data_Victor_1.avi,180,6.0,True,True,621,242,630,243,612,241,219,126,270,132,169,120,101,30.0
Data_Victor_1.avi,181,6.0333,True,True,621,242,630,243,613,241,219,126,270,132,174,120,96,30.0
Data_Victor_1.avi,182,6.0667,True,True,621,242,630,243,613,241,219,126,270,132,174,120,96,30.0
Data_Victor_1.avi,183,6.1,True,True,621,242,630,243,613,242,219,126,270,132,174,126,96,30.0
Data_Victor_1.avi,184,6.1333,True,True,621,242,630,243,613,242,219,126,270,132,174,126,96,30.0
Data_Victor_1.avi,185,6.1667,True,True,621,242,630,243,613,242,217,126,268,132,171,126,97,30.0
Data_Victor_1.avi,186,6.2,True,True,621,242,630,243,613,242,219,126,270,132,174,126,96,30.0
Data_Victor_1.avi,187,6.2333,True,True,621,242,630,243,613,242,219,126,270,132,174,126,96,30.0
Data_Victor_1.avi,188,6.2667,True,True,621,242,630,243,613,241,219,126,270,132,174,120,96,30.0
Data_Victor_1.avi,189,6.3,True,True,619,243,628,244,611,242,211,132,262,138,165,126,97,30.0
Data_Victor_1.avi,190,6.3333,True,True,616,244,625,245,607,243,197,126,249,132,144,120,105,30.0
Data_Victor_1.avi,191,6.3667,True,True,614,244,623,245,605,244,197,123,249,129,144,123,105,30.0
Data_Victor_1.avi,192,6.4,True,True,614,244,623,245,605,244,197,123,249,129,144,123,105,30.0
Data_Victor_1.avi,193,6.4333,True,True,613,245,622,246,605,244,191,129,243,135,144,123,99,30.0
Data_Victor_1.avi,194,6.4667,True,True,613,245,622,246,605,245,197,129,249,135,150,129,99,30.0
Data_Victor_1.avi,195,6.5,True,True,613,245,622,246,605,245,197,129,249,135,150,129,99,30.0
Data_Victor_1.avi,196,6.5333,True,True,613,245,622,246,604,244,200,129,251,135,148,123,103,30.0
Data_Victor_1.avi,197,6.5667,True,True,613,245,622,246,604,244,200,129,251,135,148,123,103,30.0
Data_Victor_1.avi,198,6.6,True,True,612,245,621,246,604,244,197,129,249,135,150,123,99,30.0
Data_Victor_1.avi,199,6.6333,True,True,612,245,621,246,604,244,197,129,249,135,150,123,99,30.0
Data_Victor_1.avi,200,6.6667,True,True,612,245,621,246,604,245,197,129,249,135,150,129,99,30.0
Data_Victor_1.avi,201,6.7,True,True,612,245,621,246,604,244,197,129,249,135,150,123,99,30.0
Data_Victor_1.avi,202,6.7333,True,True,612,245,621,246,604,244,197,129,249,135,150,123,99,30.0
Data_Victor_1.avi,203,6.7667,True,True,612,244,621,245,604,244,197,123,249,129,150,123,99,30.0
Data_Victor_1.avi,204,6.8,True,True,612,244,621,245,604,244,194,123,245,129,148,123,97,30.0
Data_Victor_1.avi,205,6.8333,True,True,613,244,622,245,604,244,200,123,251,129,148,123,103,30.0
Data_Victor_1.avi,206,6.8667,True,True,613,244,622,245,604,244,197,123,249,129,144,123,105,30.0
Data_Victor_1.avi,207,6.9,True,True,613,244,622,245,604,244,197,123,249,129,144,123,105,30.0
Data_Victor_1.avi,208,6.9333,True,True,613,244,622,245,604,244,200,123,251,129,148,123,103,30.0
Data_Victor_1.avi,209,6.9667,True,True,613,244,622,245,604,244,200,123,251,129,148,123,103,30.0
Data_Victor_1.avi,210,7.0,True,True,613,244,622,245,604,244,200,123,251,129,148,123,103,30.0
Data_Victor_1.avi,211,7.0333,True,True,612,244,621,245,604,244,197,123,249,129,150,123,99,30.0
Data_Victor_1.avi,212,7.0667,True,True,612,245,621,246,604,244,197,126,249,132,150,120,99,30.0
Data_Victor_1.avi,213,7.1,True,True,612,245,621,246,604,244,200,129,251,135,154,123,97,30.0
Data_Victor_1.avi,214,7.1333,True,True,612,245,621,246,604,244,200,129,251,135,154,123,97,30.0
Data_Victor_1.avi,215,7.1667,True,True,612,245,621,246,604,244,200,129,251,135,154,123,97,30.0
Data_Victor_1.avi,216,7.2,True,True,612,245,621,246,604,244,200,129,251,135,154,123,97,30.0
Data_Victor_1.avi,217,7.2333,True,True,612,245,621,246,604,244,200,129,251,135,154,123,97,30.0
Data_Victor_1.avi,218,7.2667,True,True,612,245,621,246,604,244,197,129,249,135,150,123,99,30.0
Data_Victor_1.avi,219,7.3,True,True,612,245,621,246,604,244,197,129,249,135,150,123,99,30.0
Data_Victor_1.avi,220,7.3333,True,True,612,245,621,246,604,244,197,129,249,135,150,123,99,30.0
Data_Victor_1.avi,221,7.3667,True,True,612,245,621,246,604,244,194,129,245,135,148,123,97,30.0
Data_Victor_1.avi,222,7.4,True,True,612,245,621,246,604,244,194,129,245,135,148,123,97,30.0
Data_Victor_1.avi,223,7.4333,True,True,612,245,621,246,604,244,197,129,249,135,150,123,99,30.0
Data_Victor_1.avi,224,7.4667,True,True,612,244,621,245,604,244,197,123,249,129,150,123,99,30.0
Data_Victor_1.avi,225,7.5,True,True,613,244,622,245,604,244,200,126,251,132,148,126,103,30.0
Data_Victor_1.avi,226,7.5333,True,True,613,245,622,246,604,244,202,129,255,135,150,123,105,30.0
