estimulo_num,estimulo_label,stim_start_ms,stim_end_ms,tiempo_reaccion_ms,num_fijaciones,duracion_primera_fijacion_ms,duracion_promedio_fijaciones_ms,estado,archivo
5,P5 (Med-Cen),8500.0,10500.0,66.66699999999946,1,1866.666000000001,1866.666000000001,reacción_rápida,Sthepanie_intento_4_data
6,P6 (Med-Der),10500.0,12500.0,133.33300000000054,1,1833.333999999999,1833.333999999999,reacción_rápida,Sthepanie_intento_4_data
7,P7 (Inf-Izq),12500.0,14500.0,166.66699999999946,1,1866.666000000001,1866.666000000001,reacción_normal,Sthepanie_intento_4_data
8,P8 (Inf-Cen),14500.0,16500.0,233.33300000000054,2,1866.6669999999997,1866.6665000000003,reacción_normal,Sthepanie_intento_4_data
9,P9 (Inf-Der),16500.0,18500.0,266.6670000000013,2,1700.0,1783.3334999999997,reacción_normal,Sthepanie_intento_4_data
1,P1 (Sup-Izq),500.0,2500.0,0.0,2,1766.667,1800.0005,reacción_rápida,Sthepanie_intento_5_data
2,P2 (Sup-Cen),2500.0,4500.0,-66.66699999999992,2,1833.3340000000003,1866.6670000000001,anticipación,Sthepanie_intento_5_data
3,P3 (Sup-Der),4500.0,6500.0,-66.66700000000037,1,1900.0,1900.0,anticipación,Sthepanie_intento_5_data
4,P4 (Med-Izq),6500.0,8500.0,33.33299999999963,1,1833.334,1833.334,reacción_rápida,Sthepanie_intento_5_data
5,P5 (Med-Cen),8500.0,10500.0,66.66699999999946,1,1833.3330000000003,1833.3330000000003,reacción_rápida,Sthepanie_intento_5_data
6,P6 (Med-Der),10500.0,12500.0,100.0,1,1666.6669999999997,1666.6669999999997,reacción_rápida,Sthepanie_intento_5_data
7,P7 (Inf-Izq),12500.0,14500.0,166.66699999999946,2,1033.3330000000003,1599.9995000000008,reacción_normal,Sthepanie_intento_5_data
8,P8 (Inf-Cen),14500.0,16500.0,-633.3330000000005,2,2166.666000000001,2200.000000000001,anticipación,Sthepanie_intento_5_data
9,P9 (Inf-Der),16500.0,18500.0,-266.66699999999946,1,2233.3340000000007,2233.3340000000007,anticipación,Sthepanie_intento_5_data
1,P1 (Sup-Izq),500.0,2500.0,0.0,2,1766.667,1783.3335000000002,reacción_rápida,Sthepanie_intento_2_data
2,P2 (Sup-Cen),2500.0,4500.0,-33.333000000000084,2,1800.0000000000005,1833.333,anticipación_leve,Sthepanie_intento_2_data
3,P3 (Sup-Der),4500.0,6500.0,-33.33299999999963,1,1866.6659999999997,1866.6659999999997,anticipación_leve,Sthepanie_intento_2_data
4,P4 (Med-Izq),6500.0,8500.0,33.33299999999963,2,900.0,1283.333,reacción_rápida,Sthepanie_intento_2_data
5,P5 (Med-Cen),8500.0,10500.0,-633.3329999999996,2,1666.6660000000002,1216.6664999999998,anticipación,Sthepanie_intento_2_data
6,P6 (Med-Der),10500.0,12500.0,33.33300000000054,2,833.3339999999989,650.0004999999992,reacción_rápida,Sthepanie_intento_2_data
7,P7 (Inf-Izq),12500.0,14500.0,133.33300000000054,2,1100.0,1466.6669999999995,reacción_rápida,Sthepanie_intento_2_data
8,P8 (Inf-Cen),14500.0,16500.0,-366.66699999999946,2,1833.333999999999,1166.6669999999986,anticipación,Sthepanie_intento_2_data
9,P9 (Inf-Der),16500.0,18500.0,200.0,2,1733.3329999999987,1116.6664999999985,reacción_normal,Sthepanie_intento_2_data
