
1764871006.5070,8.1347,960,540,244
1764871006.5390,8.1667,960,540,245
1764871006.5733,8.2009,960,540,246
1764871006.6074,8.2350,960,540,247
1764871006.6391,8.2668,960,540,248
1764871006.6735,8.3011,960,540,249
1764871006.7080,8.3356,960,540,250
1764871006.7391,8.3668,960,540,251
1764871006.7729,8.4005,960,540,252
1764871006.8076,8.4353,960,540,253
1764871006.8391,8.4668,960,540,254
1764871006.8719,8.4996,960,540,255
1764871006.9070,8.5346,960,540,256
1764871006.9398,8.5675,960,540,257
1764871006.9730,8.6006,960,540,258
1764871007.0069,8.6346,960,540,259
1764871007.0399,8.6676,960,540,260
1764871007.0731,8.7008,960,540,261
1764871007.1080,8.7357,960,540,262
1764871007.1400,8.7676,960,540,263
1764871007.1730,8.8007,960,540,264
1764871007.2069,8.8346,960,540,265
1764871007.2397,8.8673,960,540,266
1764871007.2732,8.9008,960,540,267
1764871007.3078,8.9355,960,540,268
1764871007.3391,8.9668,960,540,269
1764871007.3716,8.9993,960,540,270
1764871007.4071,9.0348,960,540,271
1764871007.4393,9.0670,960,540,272
1764871007.4729,9.1006,960,540,273
1764871007.5077,9.1354,960,540,274
1764871007.5390,9.1667,960,540,275
1764871007.5738,9.2015,960,540,276
1764871007.6079,9.2356,960,540,277
1764871007.6398,9.2674,960,540,278
1764871007.6738,9.3015,960,540,279
1764871007.7075,9.3352,960,540,280
1764871007.7398,9.3675,960,540,281
1764871007.7736,9.4013,960,540,282
1764871007.8077,9.4353,960,540,283
1764871007.8398,9.4675,960,540,284
1764871007.8739,9.5016,960,540,285
1764871007.9069,9.5346,960,540,286
1764871007.9398,9.5675,960,540,287
1764871007.9737,9.6014,960,540,288
1764871008.0072,9.6349,960,540,289
1764871008.0400,9.6676,960,540,290
1764871008.0735,9.7012,960,540,291
1764871008.1064,9.7341,960,540,292
1764871008.1390,9.7667,960,540,293
1764871008.1730,9.8007,960,540,294
1764871008.2073,9.8349,960,540,295
1764871008.2393,9.8670,960,540,296
1764871008.2731,9.9008,960,540,297
1764871008.3072,9.9349,960,540,298
1764871008.3397,9.9674,960,540,299
1764871008.3713,9.9989,1600,540,300
1764871008.4078,10.0355,1600,540,301
1764871008.4399,10.0676,1600,540,302
1764871008.4735,10.1011,1600,540,303
1764871008.5072,10.1349,1600,540,304
1764871008.5396,10.1672,1600,540,305
1764871008.5718,10.1995,1600,540,306
1764871008.6072,10.2349,1600,540,307
1764871008.6398,10.2675,1600,540,308
1764871008.6740,10.3016,1600,540,309
1764871008.7070,10.3347,1600,540,310
1764871008.7414,10.3691,1600,540,311
1764871008.7710,10.3987,1600,540,312
1764871008.8077,10.4353,1600,540,313
1764871008.8398,10.4675,1600,540,314
1764871008.8731,10.5008,1600,540,315
1764871008.9076,10.5352,1600,540,316
1764871008.9389,10.5665,1600,540,317
1764871008.9735,10.6012,1600,540,318
1764871009.0070,10.6347,1600,540,319
1764871009.0399,10.6676,1600,540,320
1764871009.0735,10.7011,1600,540,321
1764871009.1075,10.7352,1600,540,322
1764871009.1398,10.7675,1600,540,323
1764871009.1713,10.7989,1600,540,324
1764871009.2079,10.8356,1600,540,325
1764871009.2404,10.8680,1600,540,326
1764871009.2739,10.9016,1600,540,327
1764871009.3069,10.9345,1600,540,328
1764871009.3391,10.9667,1600,540,329
1764871009.3732,11.0009,1600,540,330
1764871009.4071,11.0347,1600,540,331
1764871009.4397,11.0673,1600,540,332
1764871009.4734,11.1011,1600,540,333
1764871009.5070,11.1346,1600,540,334
1764871009.5396,11.1673,1600,540,335
1764871009.5735,11.2012,1600,540,336
1764871009.6078,11.2354,1600,540,337
1764871009.6397,11.2674,1600,540,338
1764871009.6730,11.3007,1600,540,339
1764871009.7075,11.3351,1600,540,340
1764871009.7399,11.3675,1600,540,341
1764871009.7739,11.4015,1600,540,342
1764871009.8078,11.4355,1600,540,343
1764871009.8399,11.4675,1600,540,344
1764871009.8730,11.5006,1600,540,345
1764871009.9071,11.5348,1600,540,346
1764871009.9392,11.5668,1600,540,347
1764871009.9733,11.6010,1600,540,348
1764871010.0070,11.6347,1600,540,349
1764871010.0395,11.6672,1600,540,350
1764871010.0725,11.7001,1600,540,351
1764871010.1078,11.7355,1600,540,352
1764871010.1395,11.7672,1600,540,353
1764871010.1733,11.8009,1600,540,354
1764871010.2079,11.8356,1600,540,355
1764871010.2395,11.8671,1600,540,356
1764871010.2735,11.9012,1600,540,357
1764871010.3071,11.9348,1600,540,358
1764871010.3399,11.9675,1600,540,359
1764871010.3734,12.0010,320,900,360
1764871010.4074,12.0351,320,900,361
1764871010.4398,12.0674,320,900,362
1764871010.4716,12.0993,320,900,363
1764871010.5079,12.1356,320,900,364
1764871010.5391,12.1667,320,900,365
1764871010.5742,12.2018,320,900,366
1764871010.6080,12.2357,320,900,367
1764871010.6395,12.2672,320,900,368
1764871010.6731,12.3008,320,900,369
1764871010.7078,12.3355,320,900,370
1764871010.7389,12.3666,320,900,371
1764871010.7729,12.4005,320,900,372
1764871010.8076,12.4353,320,900,373
1764871010.8398,12.4675,320,900,374
1764871010.8738,12.5015,320,900,375
1764871010.9075,12.5352,320,900,376
1764871010.9392,12.5669,320,900,377
1764871010.9718,12.5995,320,900,378
1764871011.0077,12.6354,320,900,379
1764871011.0394,12.6671,320,900,380
1764871011.0727,12.7004,320,900,381
1764871011.1076,12.7353,320,900,382
1764871011.1399,12.7676,320,900,383
1764871011.1729,12.8005,320,900,384
1764871011.2069,12.8346,320,900,385
1764871011.2400,12.8676,320,900,386
1764871011.2734,12.9010,320,900,387
1764871011.3075,12.9352,320,900,388
1764871011.3389,12.9665,320,900,389
1764871011.3716,12.9993,320,900,390
1764871011.4070,13.0347,320,900,391
1764871011.4393,13.0670,320,900,392
1764871011.4712,13.0989,320,900,393
1764871011.5072,13.1348,320,900,394
1764871011.5389,13.1666,320,900,395
1764871011.5734,13.2011,320,900,396
1764871011.6071,13.2348,320,900,397
1764871011.6390,13.2667,320,900,398
1764871011.6718,13.2995,320,900,399
1764871011.7073,13.3349,320,900,400
1764871011.7389,13.3666,320,900,401
1764871011.7739,13.4016,320,900,402
1764871011.8070,13.4346,320,900,403
1764871011.8398,13.4675,320,900,404
1764871011.8729,13.5006,320,900,405
1764871011.9078,13.5355,320,900,406
1764871011.9391,13.5668,320,900,407
1764871011.9720,13.5997,320,900,408
1764871012.0070,13.6347,320,900,409
1764871012.0397,13.6674,320,900,410
1764871012.0732,13.7008,320,900,411
1764871012.1071,13.7347,320,900,412
1764871012.1389,13.7665,320,900,413
1764871012.1723,13.8000,320,900,414
1764871012.2070,13.8347,320,900,415
1764871012.2398,13.8674,320,900,416
1764871012.2731,13.9008,320,900,417
1764871012.3069,13.9346,320,900,418
1764871012.3391,13.9667,320,900,419
1764871012.3739,14.0016,960,900,420
1764871012.4071,14.0347,960,900,421
1764871012.4395,14.0671,960,900,422
