video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,79,2633.333,True,346.000,201.000,0.000,482.000,216.000,0.517793,-0.160269,0.840359,38.213,92.501,1.228
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,80,2666.667,True,346.000,201.000,0.000,482.000,217.000,0.518051,-0.164219,0.839438,38.444,90.732,0.743
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,81,2700.000,True,346.000,201.000,0.000,482.000,217.000,0.518051,-0.164219,0.839438,37.448,89.897,0.742
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,82,2733.333,True,346.000,201.000,0.000,483.000,217.000,0.522875,-0.164101,0.836464,38.105,91.156,0.326
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,83,2766.667,True,346.000,201.000,0.000,483.000,217.000,0.522875,-0.164101,0.836464,38.140,91.465,0.994
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,84,2800.000,True,346.000,201.000,0.000,483.000,217.000,0.522875,-0.164101,0.836464,37.452,92.548,0.438
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,85,2833.333,True,346.000,201.000,0.000,483.000,217.000,0.522875,-0.164101,0.836464,39.235,89.373,1.262
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,86,2866.667,True,346.000,201.000,0.000,483.000,217.000,0.522875,-0.164101,0.836464,39.214,90.376,1.091
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,87,2900.000,True,345.000,201.000,0.000,483.000,217.000,0.528848,-0.163952,0.832730,39.010,91.067,1.256
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,88,2933.333,True,345.000,201.000,0.000,483.000,218.000,0.529118,-0.167915,0.831768,39.572,91.614,1.497
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,89,2966.667,True,345.000,201.000,0.000,483.000,218.000,0.529118,-0.167915,0.831768,39.614,91.328,1.681
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,90,3000.000,True,345.000,201.000,0.000,483.000,218.000,0.529118,-0.167915,0.831768,39.312,94.139,0.949
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,91,3033.333,True,345.000,201.000,0.000,483.000,217.000,0.528848,-0.163952,0.832730,39.616,94.166,1.115
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,92,3066.667,True,345.000,201.000,0.000,483.000,217.000,0.528848,-0.163952,0.832730,40.335,93.011,1.648
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,93,3100.000,True,345.000,201.000,0.000,483.000,217.000,0.528848,-0.163952,0.832730,41.798,91.633,1.996
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,94,3133.333,True,345.000,201.000,0.000,483.000,218.000,0.529118,-0.167915,0.831768,41.025,93.707,2.017
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,95,3166.667,True,345.000,201.000,0.000,482.000,218.000,0.524266,-0.168031,0.834812,40.592,93.051,1.754
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,96,3200.000,True,345.000,201.000,0.000,482.000,218.000,0.524266,-0.168031,0.834812,40.032,95.348,0.993
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,97,3233.333,True,345.000,201.000,0.000,482.000,218.000,0.524266,-0.168031,0.834812,40.647,94.764,1.764
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,98,3266.667,True,345.000,201.000,0.000,483.000,219.000,0.529396,-0.171880,0.830781,40.794,94.506,1.174
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,99,3300.000,True,345.000,201.000,0.000,483.000,219.000,0.529396,-0.171880,0.830781,40.584,93.802,1.012
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,100,3333.333,True,345.000,201.000,0.000,483.000,219.000,0.529396,-0.171880,0.830781,40.476,96.207,1.598
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,101,3366.667,True,345.000,201.000,0.000,483.000,218.000,0.529118,-0.167915,0.831768,40.828,95.464,1.073
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,102,3400.000,True,345.000,201.000,0.000,482.000,218.000,0.524266,-0.168031,0.834812,41.986,94.988,1.591
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,103,3433.333,True,345.000,201.000,0.000,482.000,218.000,0.524266,-0.168031,0.834812,41.241,95.066,1.759
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,104,3466.667,True,345.000,201.000,0.000,482.000,218.000,0.524266,-0.168031,0.834812,41.274,96.916,1.137
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,105,3500.000,True,345.000,201.000,0.000,482.000,219.000,0.524540,-0.171991,0.833833,40.269,98.019,1.318
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,106,3533.333,True,345.000,201.000,0.000,482.000,219.000,0.524540,-0.171991,0.833833,41.519,98.704,1.577
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,107,3566.667,True,345.000,201.000,0.000,482.000,219.000,0.524540,-0.171991,0.833833,42.146,97.939,1.974
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,108,3600.000,True,345.000,201.000,0.000,482.000,219.000,0.524540,-0.171991,0.833833,42.390,102.462,1.688
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,109,3633.333,True,345.000,201.000,0.000,482.000,220.000,0.524821,-0.175954,0.832829,43.444,100.517,1.989
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,110,3666.667,True,345.000,201.000,0.000,482.000,220.000,0.524821,-0.175954,0.832829,43.899,104.036,2.516
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,111,3700.000,True,345.000,201.000,0.000,480.000,218.000,0.514639,-0.168256,0.840736,42.003,94.788,0.445
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,112,3733.333,True,345.000,201.000,0.000,473.000,213.000,0.480560,-0.149419,0.864139,47.096,95.610,2.897
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,113,3766.667,True,345.000,201.000,0.000,466.000,207.000,0.447649,-0.126945,0.885153,47.623,97.409,0.442
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,114,3800.000,True,345.000,201.000,0.000,459.000,202.000,0.416044,-0.108560,0.902841,47.948,98.205,0.599
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,115,3833.333,True,345.000,201.000,0.000,452.000,196.000,0.385273,-0.086497,0.918740,47.155,99.899,0.595
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,116,3866.667,True,345.000,201.000,0.000,447.000,193.000,0.363912,-0.075724,0.928350,48.871,100.665,1.196
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,117,3900.000,True,345.000,201.000,0.000,447.000,193.000,0.363912,-0.075724,0.928350,47.166,98.560,1.297
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,118,3933.333,True,345.000,201.000,0.000,448.000,193.000,0.368110,-0.075591,0.926704,48.180,98.344,0.541
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,119,3966.667,True,345.000,201.000,0.000,448.000,193.000,0.368110,-0.075591,0.926704,46.245,98.319,0.980
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,120,4000.000,True,345.000,201.000,0.000,448.000,193.000,0.368110,-0.075591,0.926704,46.851,96.962,179.619
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,121,4033.333,True,345.000,201.000,0.000,448.000,193.000,0.368110,-0.075591,0.926704,46.298,97.404,0.723
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,122,4066.667,True,345.000,201.000,0.000,448.000,193.000,0.368110,-0.075591,0.926704,46.424,95.531,179.203
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,123,4100.000,True,345.000,201.000,0.000,449.000,193.000,0.372319,-0.075455,0.925032,44.452,92.100,179.668
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,124,4133.333,True,345.000,201.000,0.000,449.000,193.000,0.372319,-0.075455,0.925032,44.679,91.516,179.298
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,125,4166.667,True,345.000,201.000,0.000,448.000,193.000,0.368110,-0.075591,0.926704,44.079,89.121,179.758
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,126,4200.000,True,345.000,201.000,0.000,449.000,193.000,0.372319,-0.075455,0.925032,44.175,91.934,178.129
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,127,4233.333,True,345.000,201.000,0.000,449.000,193.000,0.372319,-0.075455,0.925032,44.004,91.559,178.537
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,128,4266.667,True,345.000,201.000,0.000,449.000,193.000,0.372319,-0.075455,0.925032,44.806,90.718,178.885
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,129,4300.000,True,345.000,202.000,0.000,449.000,193.000,0.372195,-0.068938,0.925591,45.500,90.808,178.580
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,130,4333.333,True,345.000,202.000,0.000,449.000,193.000,0.372195,-0.068938,0.925591,45.058,92.744,178.146
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,131,4366.667,True,345.000,202.000,0.000,449.000,193.000,0.372195,-0.068938,0.925591,44.147,93.117,179.678
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,132,4400.000,True,345.000,202.000,0.000,449.000,194.000,0.372267,-0.072752,0.925270,45.351,94.768,179.309
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,133,4433.333,True,345.000,202.000,0.000,449.000,193.000,0.372195,-0.068938,0.925591,45.982,94.420,178.889
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,134,4466.667,True,345.000,202.000,0.000,449.000,193.000,0.372195,-0.068938,0.925591,48.926,94.123,0.543
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,135,4500.000,True,345.000,202.000,0.000,449.000,193.000,0.372195,-0.068938,0.925591,48.174,93.778,179.429
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,136,4533.333,True,345.000,202.000,0.000,449.000,193.000,0.372195,-0.068938,0.925591,47.870,93.558,179.620
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,137,4566.667,True,345.000,202.000,0.000,449.000,193.000,0.372195,-0.068938,0.925591,47.864,94.221,179.542
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,138,4600.000,True,345.000,202.000,0.000,449.000,194.000,0.372267,-0.072752,0.925270,48.141,94.226,179.567
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,139,4633.333,True,345.000,202.000,0.000,449.000,194.000,0.372267,-0.072752,0.925270,47.701,93.392,179.935
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,140,4666.667,True,345.000,202.000,0.000,449.000,194.000,0.372267,-0.072752,0.925270,48.003,93.251,0.549
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,141,4700.000,True,345.000,202.000,0.000,449.000,194.000,0.372267,-0.072752,0.925270,47.832,94.476,179.051
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,142,4733.333,True,345.000,202.000,0.000,449.000,194.000,0.372267,-0.072752,0.925270,48.392,95.077,0.006
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,143,4766.667,True,345.000,202.000,0.000,449.000,195.000,0.372342,-0.076565,0.924932,48.060,95.781,0.069
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,144,4800.000,True,345.000,202.000,0.000,449.000,195.000,0.372342,-0.076565,0.924932,48.952,96.848,0.353
