Tiempo_s,Frame_Index,EAR_Crudo,EAR_Suavizado,Velocidad_dEAR_dt,Aceleracion_d2EAR_dt2,Blink_Detectado
5.600000,168,0.239631,0.241155,0.005484,-0.003668,False
5.633333,169,0.245115,0.243504,0.002349,-0.003136,False
5.666667,170,0.243600,0.245377,0.001873,-0.000475,False
5.700000,171,0.247256,0.247882,0.002505,0.000631,False
5.733333,172,0.250238,0.248582,0.000700,-0.001804,False
5.766667,173,0.250308,0.249812,0.001230,0.000530,False
5.800000,174,0.247650,0.250123,0.000310,-0.000920,False
5.833333,175,0.250169,0.256676,0.006553,0.006243,False
5.866667,176,0.249251,0.246802,-0.009873,-0.016426,False
5.900000,177,0.243897,0.216775,-0.030028,-0.020154,False
5.933333,178,0.162269,0.174251,-0.042524,-0.012496,False
5.966667,179,0.127721,0.143083,-0.031167,0.011357,True
6.000000,180,0.131248,0.138304,-0.004780,0.026388,True
6.033333,181,0.173741,0.165230,0.026926,0.031706,True
6.066667,182,0.202404,0.195268,0.030038,0.003112,False
6.100000,183,0.214676,0.216929,0.021661,-0.008377,False
6.133333,184,0.225464,0.225672,0.008743,-0.012918,False
6.166667,185,0.230699,0.230589,0.004917,-0.003827,False
6.200000,186,0.232626,0.233338,0.002749,-0.002168,False
6.233333,187,0.234494,0.234070,0.000732,-0.002017,False
6.266667,188,0.231884,0.232531,-0.001540,-0.002272,False
6.300000,189,0.231067,0.228726,-0.003805,-0.002265,False
6.333333,190,0.223705,0.224981,-0.003745,0.000060,False
6.366667,191,0.220502,0.223325,-0.001656,0.002088,False
6.400000,192,0.223750,0.222159,-0.001166,0.000490,False
6.433333,193,0.224331,0.220873,-0.001286,-0.000120,False
6.466667,194,0.220426,0.222043,0.001170,0.002456,False
6.500000,195,0.220086,0.225888,0.003845,0.002675,False
6.533333,196,0.235701,0.231575,0.005687,0.001842,False
6.566667,197,0.241971,0.239944,0.008369,0.002681,False
6.600000,198,0.242569,0.245904,0.005960,-0.002408,False
6.633333,199,0.249752,0.247470,0.001566,-0.004394,False
6.666667,200,0.246631,0.246549,-0.000922,-0.002488,False
