Frame,Tiempo(s),EAR_Original,EAR_Mejorado,Diferencia
261,8.70,0.050296,0.040619,0.009676
262,8.73,0.046363,0.037868,0.008495
263,8.76,0.042344,0.034904,0.007440
264,8.80,0.037031,0.031251,0.005780
265,8.83,0.038111,0.033005,0.005106
266,8.86,0.043579,0.037635,0.005944
267,8.90,0.087574,0.070431,0.017142
268,8.93,0.174634,0.135564,0.039070
269,8.96,0.198093,0.152904,0.045189
270,9.00,0.219670,0.169176,0.050494
271,9.03,0.224525,0.172746,0.051779
272,9.06,0.234762,0.180444,0.054318
273,9.10,0.251523,0.192876,0.058647
274,9.13,0.261731,0.200544,0.061187
275,9.16,0.268571,0.205564,0.063007
276,9.20,0.272159,0.208218,0.063941
277,9.23,0.279038,0.213339,0.065699
278,9.26,0.281299,0.215106,0.066193
279,9.30,0.283645,0.216818,0.066828
280,9.33,0.286048,0.218664,0.067384
281,9.36,0.286665,0.219017,0.067648
282,9.40,0.286717,0.219153,0.067564
283,9.43,0.286718,0.219124,0.067594
284,9.46,0.287063,0.219401,0.067662
285,9.50,0.289248,0.221069,0.068180
286,9.53,0.290898,0.222283,0.068615
287,9.56,0.292284,0.223277,0.069008
288,9.60,0.293646,0.224268,0.069379
289,9.63,0.293913,0.224433,0.069480
290,9.66,0.293457,0.224120,0.069337
291,9.70,0.295862,0.225923,0.069940
292,9.73,0.295033,0.225269,0.069764
293,9.76,0.295047,0.225322,0.069725
294,9.80,0.293937,0.224464,0.069472
295,9.83,0.294545,0.224915,0.069630
296,9.86,0.293050,0.223825,0.069224
297,9.90,0.293774,0.224450,0.069325
298,9.93,0.294174,0.224663,0.069511
299,9.96,0.294959,0.225241,0.069718
300,10.00,0.290609,0.222043,0.068565
301,10.03,0.263249,0.201567,0.061682
302,10.06,0.200067,0.154687,0.045379
303,10.10,0.064658,0.052754,0.011904
304,10.13,0.048036,0.039492,0.008544
305,10.16,0.042589,0.035453,0.007136
306,10.20,0.040688,0.033856,0.006832
307,10.23,0.038640,0.032111,0.006529
308,10.26,0.037171,0.030771,0.006400
309,10.30,0.047430,0.038218,0.009213
310,10.33,0.050054,0.040307,0.009746
311,10.36,0.045722,0.037175,0.008547
312,10.40,0.042032,0.035009,0.007023
313,10.43,0.035958,0.032259,0.003699
314,10.46,0.126861,0.100242,0.026618
315,10.50,0.182008,0.141084,0.040923
316,10.53,0.209429,0.161392,0.048037
317,10.56,0.237499,0.182335,0.055164
