Muestra_ID,Real,Predicho,Acierto,Confianza
1446,P7,P7,1,0.7566666666666667
734,P4,P4,1,0.7233333333333334
1871,P9,P9,1,0.8333333333333334
500,P3,P3,1,0.77
765,P4,P4,1,0.84
1022,P5,P7,0,0.26666666666666666
639,P3,P9,0,0.55
2015,P10,P10,1,0.6666666666666666
1088,P5,P5,1,0.8633333333333333
1435,P6,P6,1,0.2966666666666667
720,P4,P6,0,0.29
578,P3,P3,1,0.6366666666666667
1914,P9,P9,1,0.6
147,P1,P1,1,0.5833333333333334
723,P4,P4,1,0.6666666666666666
975,P5,P3,0,0.53
150,P1,P1,1,0.6733333333333333
1714,P8,P8,1,0.81
1401,P6,P6,1,0.44666666666666666
1646,P8,P8,1,0.6166666666666667
1855,P9,P9,1,0.9466666666666667
2040,P10,P10,1,0.52
643,P4,P2,0,0.6933333333333334
1105,P5,P5,1,0.5433333333333333
1934,P10,P10,1,0.8533333333333334
1514,P7,P7,1,0.5733333333333334
87,P1,P1,1,0.7866666666666666
1810,P9,P9,1,0.67
1008,P5,P5,1,0.35333333333333333
970,P5,P5,1,0.5166666666666667
1842,P9,P9,1,0.6033333333333334
1797,P9,P9,1,0.64
1579,P7,P7,1,0.47333333333333333
1874,P9,P9,1,0.45666666666666667
622,P3,P3,1,0.43
1299,P6,P6,1,0.6033333333333334
1857,P9,P9,1,0.7533333333333333
769,P4,P4,1,0.6633333333333333
1891,P9,P9,1,0.78
1012,P5,P5,1,0.38666666666666666
1667,P8,P8,1,0.93
526,P3,P3,1,0.8666666666666667
1779,P9,P9,1,0.8733333333333333
1099,P5,P5,1,0.5966666666666667
1,P1,P1,1,0.7133333333333334
754,P4,P4,1,0.7966666666666666
186,P2,P2,1,0.8233333333333334
57,P1,P1,1,0.8266666666666667
310,P2,P2,1,0.5733333333333334
786,P4,P4,1,0.7133333333333334
1744,P8,P8,1,0.7133333333333334
1510,P7,P7,1,0.7366666666666667
740,P4,P4,1,0.55
663,P4,P4,1,0.42
1477,P7,P7,1,0.97
1447,P7,P7,1,0.59
481,P3,P3,1,0.78
1595,P7,P7,1,0.96
1286,P6,P6,1,0.6
596,P3,P3,1,0.8966666666666666
1766,P9,P9,1,0.8733333333333333
1459,P7,P7,1,0.6033333333333334
1107,P5,P5,1,0.31
603,P3,P3,1,0.6833333333333333
1962,P10,P6,0,0.4066666666666667
2067,P10,P10,1,0.5
171,P2,P2,1,0.8366666666666667
1727,P8,P8,1,0.8833333333333333
1368,P6,P6,1,0.6766666666666666
708,P4,P4,1,0.6266666666666667
255,P2,P2,1,0.6366666666666667
1799,P9,P9,1,0.9266666666666666
281,P2,P2,1,0.7466666666666667
1872,P9,P9,1,0.9466666666666667
1521,P7,P5,0,0.49333333333333335
1720,P8,P8,1,0.4066666666666667
198,P2,P2,1,0.4
1794,P9,P9,1,0.5266666666666666
1471,P7,P7,1,0.8333333333333334
155,P1,P1,1,0.9
1838,P9,P9,1,0.3466666666666667
1798,P9,P9,1,0.9
1385,P6,P6,1,0.69
160,P2,P2,1,0.8066666666666666
1757,P8,P7,0,0.5433333333333333
1755,P8,P8,1,0.9966666666666667
1956,P10,P10,1,0.5333333333333333
2020,P10,P10,1,0.44
1351,P6,P6,1,0.63
1705,P8,P8,1,0.7833333333333333
537,P3,P3,1,0.74
511,P3,P6,0,0.30333333333333334
1312,P6,P6,1,0.73
178,P2,P2,1,0.82
590,P3,P3,1,0.6666666666666666
299,P2,P2,1,0.72
1442,P7,P7,1,0.7233333333333334
1895,P9,P9,1,0.89
189,P2,P2,1,0.5733333333333334
540,P3,P3,1,0.7033333333333334
1747,P8,P8,1,0.47333333333333333
277,P2,P2,1,0.62
503,P3,P3,1,0.79
221,P2,P2,1,0.7233333333333334
1954,P10,P10,1,0.65
2025,P10,P10,1,0.5066666666666667
1902,P9,P9,1,0.5133333333333333
102,P1,P1,1,0.79
1071,P5,P5,1,0.7066666666666667
697,P4,P4,1,0.71
1324,P6,P6,1,0.49
985,P5,P5,1,0.6433333333333333
1774,P9,P3,0,0.4766666666666667
726,P4,P4,1,0.9033333333333333
1513,P7,P7,1,0.6133333333333333
546,P3,P3,1,0.8033333333333333
