Muestra_ID,Real,Predicho,Acierto,Confianza,Configuracion
2076,P10,P10,1,0.36666666666666664,10 sujetos
1946,P10,P6,0,0.43333333333333335,10 sujetos
1746,P8,P8,1,0.39666666666666667,10 sujetos
1440,P7,P7,1,0.56,10 sujetos
14,P1,P1,1,0.95,10 sujetos
1358,P6,P6,1,0.5566666666666666,10 sujetos
282,P2,P2,1,0.7933333333333333,10 sujetos
683,P4,P4,1,0.8233333333333334,10 sujetos
2043,P10,P6,0,0.29,10 sujetos
203,P2,P2,1,0.7933333333333333,10 sujetos
497,P3,P3,1,0.86,10 sujetos
1506,P7,P7,1,0.6633333333333333,10 sujetos
296,P2,P2,1,0.7133333333333334,10 sujetos
1827,P9,P9,1,0.85,10 sujetos
1005,P5,P8,0,0.73,10 sujetos
1654,P8,P8,1,0.7666666666666667,10 sujetos
1060,P5,P5,1,0.7333333333333333,10 sujetos
289,P2,P2,1,0.6333333333333333,10 sujetos
1660,P8,P8,1,0.48,10 sujetos
136,P1,P1,1,0.78,10 sujetos
1428,P6,P6,1,0.4066666666666667,10 sujetos
159,P1,P1,1,0.81,10 sujetos
2044,P10,P10,1,0.45666666666666667,10 sujetos
1326,P6,P6,1,0.43,10 sujetos
2054,P10,P10,1,0.42,10 sujetos
569,P3,P3,1,0.8733333333333333,10 sujetos
1930,P10,P10,1,0.7866666666666666,10 sujetos
