video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,darkest_pixel_x,darkest_pixel_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area
roygel_intento_1_ROI_640x480.mp4,76,2533.333,True,296.000,215.000,0.000,520.000,156.000,525,193,0.896000,0.236000,-0.376149,55.215,99.190,165.491,4016.5
roygel_intento_1_ROI_640x480.mp4,77,2566.667,True,297.000,215.000,0.000,517.000,152.000,517,184,0.880000,0.252000,-0.402611,59.387,104.825,161.657,4663.5
roygel_intento_1_ROI_640x480.mp4,78,2600.000,True,297.000,215.000,0.000,514.000,149.000,519,185,0.868000,0.264000,-0.420571,60.024,105.737,162.177,4742.5
roygel_intento_1_ROI_640x480.mp4,79,2633.333,True,297.000,215.000,0.000,512.000,147.000,521,184,0.860000,0.272000,-0.431759,59.204,103.152,164.676,4648.0
roygel_intento_1_ROI_640x480.mp4,80,2666.667,True,297.000,215.000,0.000,513.000,148.000,521,187,0.864000,0.268000,-0.426239,60.403,105.167,162.182,4805.0
roygel_intento_1_ROI_640x480.mp4,81,2700.000,True,297.000,215.000,0.000,513.000,149.000,521,186,0.864000,0.264000,-0.428728,61.007,103.310,162.098,4723.5
roygel_intento_1_ROI_640x480.mp4,82,2733.333,True,298.000,215.000,0.000,513.000,150.000,517,181,0.860000,0.260000,-0.439090,60.945,103.866,163.357,4775.5
roygel_intento_1_ROI_640x480.mp4,83,2766.667,True,298.000,215.000,0.000,513.000,151.000,518,181,0.860000,0.256000,-0.441434,60.938,102.608,163.977,4763.0
roygel_intento_1_ROI_640x480.mp4,84,2800.000,True,298.000,215.000,0.000,513.000,151.000,517,181,0.860000,0.256000,-0.441434,61.418,103.982,164.529,4897.0
roygel_intento_1_ROI_640x480.mp4,85,2833.333,True,298.000,215.000,0.000,513.000,153.000,528,193,0.860000,0.248000,-0.445978,58.390,101.354,162.798,4455.5
roygel_intento_1_ROI_640x480.mp4,86,2866.667,True,298.000,215.000,0.000,513.000,154.000,537,164,0.860000,0.244000,-0.448179,60.416,102.121,163.424,4614.0
roygel_intento_1_ROI_640x480.mp4,87,2900.000,True,298.000,215.000,0.000,513.000,155.000,538,161,0.860000,0.240000,-0.450333,58.308,102.503,163.126,4441.5
roygel_intento_1_ROI_640x480.mp4,88,2933.333,True,298.000,215.000,0.000,513.000,156.000,528,196,0.860000,0.236000,-0.452442,60.112,103.549,164.033,4582.5
roygel_intento_1_ROI_640x480.mp4,89,2966.667,True,299.000,215.000,0.000,512.000,156.000,528,196,0.852000,0.236000,-0.467333,58.503,102.630,163.826,4435.5
roygel_intento_1_ROI_640x480.mp4,90,3000.000,True,299.000,215.000,0.000,513.000,157.000,518,186,0.856000,0.232000,-0.461996,57.170,102.822,163.447,4286.0
roygel_intento_1_ROI_640x480.mp4,91,3033.333,True,299.000,214.000,0.000,514.000,158.000,529,199,0.860000,0.224000,-0.458502,56.977,99.387,164.335,4149.0
roygel_intento_1_ROI_640x480.mp4,92,3066.667,True,299.000,214.000,0.000,516.000,159.000,530,199,0.868000,0.220000,-0.445170,57.008,98.941,164.429,4203.5
roygel_intento_1_ROI_640x480.mp4,93,3100.000,True,299.000,214.000,0.000,517.000,160.000,518,186,0.872000,0.216000,-0.439272,56.058,100.004,164.953,4064.0
roygel_intento_1_ROI_640x480.mp4,94,3133.333,True,299.000,214.000,0.000,517.000,159.000,518,186,0.872000,0.220000,-0.437283,56.214,101.143,164.586,4138.5
roygel_intento_1_ROI_640x480.mp4,95,3166.667,True,299.000,214.000,0.000,517.000,160.000,518,185,0.872000,0.216000,-0.439272,55.553,98.722,165.824,4032.5
roygel_intento_1_ROI_640x480.mp4,96,3200.000,True,299.000,214.000,0.000,518.000,160.000,518,185,0.876000,0.216000,-0.431240,56.650,97.754,165.380,4066.5
roygel_intento_1_ROI_640x480.mp4,97,3233.333,True,299.000,214.000,0.000,519.000,161.000,510,176,0.880000,0.212000,-0.425036,55.347,97.535,165.964,3999.5
roygel_intento_1_ROI_640x480.mp4,98,3266.667,True,299.000,214.000,0.000,519.000,161.000,509,176,0.880000,0.212000,-0.425036,56.919,97.835,166.562,4120.0
roygel_intento_1_ROI_640x480.mp4,99,3300.000,True,299.000,214.000,0.000,520.000,161.000,510,176,0.884000,0.212000,-0.416653,55.917,98.144,165.664,4051.5
roygel_intento_1_ROI_640x480.mp4,100,3333.333,True,300.000,214.000,0.000,520.000,161.000,518,181,0.880000,0.212000,-0.425036,56.295,96.475,166.085,4043.5
roygel_intento_1_ROI_640x480.mp4,101,3366.667,True,300.000,214.000,0.000,521.000,161.000,519,181,0.884000,0.212000,-0.416653,55.344,98.094,166.979,3991.0
roygel_intento_1_ROI_640x480.mp4,102,3400.000,True,300.000,214.000,0.000,521.000,161.000,519,181,0.884000,0.212000,-0.416653,55.639,99.121,167.311,4015.0
roygel_intento_1_ROI_640x480.mp4,103,3433.333,True,300.000,214.000,0.000,520.000,160.000,538,164,0.880000,0.216000,-0.423018,57.848,102.350,168.333,4365.0
roygel_intento_1_ROI_640x480.mp4,104,3466.667,True,300.000,214.000,0.000,520.000,160.000,540,164,0.880000,0.216000,-0.423018,58.491,102.141,167.755,4443.0
roygel_intento_1_ROI_640x480.mp4,105,3500.000,True,300.000,214.000,0.000,521.000,160.000,541,162,0.884000,0.216000,-0.414594,56.687,100.873,168.742,4287.5
roygel_intento_1_ROI_640x480.mp4,106,3533.333,True,300.000,214.000,0.000,521.000,160.000,518,181,0.884000,0.216000,-0.414594,57.089,101.657,166.828,4320.5
roygel_intento_1_ROI_640x480.mp4,107,3566.667,True,300.000,214.000,0.000,522.000,159.000,520,182,0.888000,0.220000,-0.403802,55.235,101.443,167.261,4191.5
roygel_intento_1_ROI_640x480.mp4,108,3600.000,True,300.000,214.000,0.000,523.000,159.000,520,182,0.892000,0.220000,-0.394887,55.482,101.281,167.909,4208.0
roygel_intento_1_ROI_640x480.mp4,109,3633.333,True,300.000,214.000,0.000,525.000,159.000,530,178,0.900000,0.220000,-0.376298,53.885,97.809,168.848,3958.5
roygel_intento_1_ROI_640x480.mp4,110,3666.667,True,300.000,214.000,0.000,526.000,159.000,530,179,0.904000,0.220000,-0.366584,54.965,96.724,168.058,4007.0
roygel_intento_1_ROI_640x480.mp4,111,3700.000,True,300.000,214.000,0.000,527.000,160.000,534,183,0.908000,0.216000,-0.358999,53.143,96.544,167.815,3849.0
roygel_intento_1_ROI_640x480.mp4,112,3733.333,True,301.000,214.000,0.000,527.000,160.000,534,183,0.904000,0.216000,-0.368955,53.321,96.308,168.276,3889.0
roygel_intento_1_ROI_640x480.mp4,113,3766.667,True,301.000,214.000,0.000,528.000,160.000,534,183,0.908000,0.216000,-0.358999,52.396,96.771,167.994,3789.0
roygel_intento_1_ROI_640x480.mp4,114,3800.000,True,301.000,214.000,0.000,528.000,160.000,534,183,0.908000,0.216000,-0.358999,52.795,97.335,168.505,3870.0
roygel_intento_1_ROI_640x480.mp4,115,3833.333,True,301.000,214.000,0.000,528.000,160.000,517,172,0.908000,0.216000,-0.358999,52.791,96.381,169.405,3859.5
roygel_intento_1_ROI_640x480.mp4,116,3866.667,True,301.000,214.000,0.000,528.000,161.000,517,171,0.908000,0.212000,-0.361375,53.325,97.861,169.262,3931.5
roygel_intento_1_ROI_640x480.mp4,117,3900.000,True,301.000,214.000,0.000,528.000,160.000,517,171,0.908000,0.216000,-0.358999,52.226,95.038,168.584,3722.5
roygel_intento_1_ROI_640x480.mp4,118,3933.333,True,301.000,214.000,0.000,525.000,156.000,520,166,0.896000,0.232000,-0.378629,54.627,98.842,164.226,4045.5
roygel_intento_1_ROI_640x480.mp4,119,3966.667,True,301.000,214.000,0.000,522.000,152.000,519,161,0.884000,0.248000,-0.396283,51.958,94.172,166.664,3635.5
roygel_intento_1_ROI_640x480.mp4,120,4000.000,True,301.000,214.000,0.000,506.000,144.000,476,149,0.820000,0.280000,-0.499199,64.731,98.261,158.810,4880.0
